Chorizanthe staticoides,1214338
Chorizanthe wheeleri,not found
Eriogonum arborescens,429193
Eriogonum cinereum,1214297
Eriogonum fasciculatum var. fasciculatum,not found
Eriogonum fasciculatum var. polifolium,1214396
Eriogonum giganteum var. compactum,1096716
Eriogonum giganteum var. formosum,not found
Eriogonum giganteum var. giganteum,not found
Eriogonum grande var. grande,1214434
Eriogonum grande var. rubescens,not found
Eriogonum grande var. timorum,not found
Lastarriaea coriacea,1214382
Persicaria amphibia,254780
Persicaria lapathifolia,430754
Polygonum argyrocoleon,701370
Polygonum aviculare ssp. depressum,701369
Pterostegia drymarioides,655510
Rumex acetosella,61450
Rumex conglomeratus,242534
Rumex crispus,174649
Rumex fueginus,467604
Rumex obtusifolius,3619
Rumex pulcher,291098
Rumex salicifolius,1234504
Portulaca oleracea,46147
Primula clevelandii ssp. insularis,272094
Clematis lasiantha,231652
Clematis ligusticifolia,3454
Clematis pauciflora,not found
Delphinium parryi ssp. maritimum,not found
Delphinium parryi ssp. parryi,not found
Delphinium variegatum ssp. kinkiense,not found
Delphinium variegatum ssp. thornei,not found
Ranunculus californicus,568536
Ranunculus hebecarpus,not found
Oligomeris linifolia,265230
Reseda odorata,415819
Ceanothus arboreus,73671
Ceanothus megacarpus var. insularis,73694
Ceanothus megacarpus var. megacarpus,73695
Frangula californica ssp. californica,not found
Rhamnus pirifolia,935872
Adenostoma fasciculatum var. fasciculatum,not found
Adenostoma fasciculatum var. prostratum,not found
Aphanes occidentalis,not found
Cercocarpus betuloides var. betuloides,not found
Cercocarpus betuloides var. blancheae,not found
Cercocarpus traskiae,not found
Cotoneaster pannosus,143397
Drymocallis glandulosa,457911
Heteromeles arbutifolia,36612
Holodiscus discolor,32230
Lyonothamnus floribundus ssp. aspleniifolius,not found
Lyonothamnus floribundus ssp. subsp.,not found
Potentilla anserina ssp. pacifica,654648
Poterium sanguisorba,137456
Prunus ilicifolia ssp. lyonii,140655
Rosa californica,74641
Rubus ursinus,75100
Galium angustifolium ssp. foliosum,not found
Galium angustifolium ssp. angustifolium,715661
Galium aparine,29788
Galium buxifolium,not found
Galium californicum ssp. flaccidum,792605
Galium californicum ssp. miguelense,not found
Galium catalinense ssp. acrispum,571381
Galium catalinense ssp. catalinense,not found
Galium nuttallii ssp. insulare,not found
Galium parisiense,29796
Galium porrigens var. porrigens,not found
Ruta chalepensis,452790
Populus fremontii ssp. fremontii,not found
Populus trichocarpa,3694
Salix exigua,77062
Salix gooddingii,543634
Salix laevigata,688343
Salix lasiandra var. lasiandra,40009
Salix lasiolepis,1455567
Acer macrophyllum,66211
