taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Bryopteris,AM237134.1,,,,DQ439681.1,AY463549.1,,KF852042.1,
Bryosedgwickia,,,,,,,,,
Bryostreimannia,,,,,,,,,
Bryotestua,,,,,,,,,
Bryowijkia,,,,,,,,,
Bryoxiphium,FJ572409.1,,,JN162191.1,AB194720.1,KU175052.1,AF223008.1,DQ646062.1,
Bryum,KT343959.1,,,,AY163040.1,JQ954531.1,AB872997.1,DQ646070.1,
Bubbia,AY004123.1,KP407455.1,,,KF496765.1,KJ412182.1,,,
Bucegia,AJ251928.1,,,,KJ590910.1,KJ195823.1,X95476.1,KJ590843.1,
Bucephalandra,KP744667.1,AM920644.1,,,AM905822.1,KC454030.1,,,
Buchanania,,AB924829.1,,,GU935418.1,GU943747.1,,GU943755.1,
Buchenavia,FJ381770.1,HM446660.3,,KU761930.1,FJ381805.1,,,,
Buchenroedera,,,,,,,,,
Buchholzia,,EU371750.1,KU739655.1,EU373679.1,KU739575.1,,,,
Buchloe,,,,,,,,,
Buchlomimus,,,,,,,,,
Buchnera,KC480306.1,FR728648.1,,,AF026822.1,FN794046.1,,,
Buchnerodendron,,,,,,,,,
Buchtienia,,,,,,,,,
Bucida,,,,AY498839.1,U26321.2,,,,
Buckiella,KF882245.1,KF882131.1,,,HQ660425.1,KF882195.1,X94259.1,GQ497630.1,
Buckinghamia,DQ499133.1,EU169614.1,,JQ257314.1,DQ875861.1,,GU476431.1,AF060433.1,
Bucklandiella,AF033649.1,HE585281.1,,,EU186589.1,JQ936860.1,,,
Buckleya,GU256863.1,DQ329191.1,DQ110331.1,,,GU294669.1,X16598.1,,
Buckollia,DQ916837.1,,,,,,,,
Bucquetia,JQ730061.1,,,,,,,,
Budawangia,,,,,AF156095.1,,,,
Buddleja,AJ550577.1,AF531772.1,,AF130143.1,KM360681.1,AF380862.1,AF107581.1,HQ384734.1,
Buergersiochloa,KC990734.1,,,GU222726.1,AY632362.1,,,,
Buesia,,,,,,,,,
Bufonia,JN589044.1,FJ404827.1,,,,FJ404974.1,,,
Buforrestia,,,,,AF036886.1,,,,
Buglossoides,KJ394983.1,EU599677.1,,KF287869.1,HM849830.1,FJ763256.1,KJ883536.1,AJ504827.1,
Bukiniczia,,,,,,,,,
Bulbine,EU707290.1,AJ511414.1,,JQ421730.1,Y17335.1,KP227760.1,AF206876.1,AJ235421.1,
Bulbinella,EU707289.1,AJ511419.1,,JX903427.1,AJ512325.1,AJ290296.1,,JX903844.1,
Bulbophyllum,KM924490.1,,,U20606.1,KM924510.1,JF428082.1,,,
Bulbostylis,AB261663.1,KJ513580.1,,FM160516.1,AB369945.1,AY506710.1,,,
Bulleyia,KR857329.1,KR857336.1,,,,,,,
Bullockia,JQ957969.1,JF270675.1,,,JX572368.1,,,,
Bulnesia,AF200665.1,EU002172.1,,EU002205.1,EU002275.1,AJ387947.1,,EU002159.1,
Bunchosia,,KM197255.1,,KM197354.1,Z75274.1,,AB233585.1,AB233689.1,
Bungarimba,,,,KF965023.1,KF964690.1,,,,
Bungea,KC480307.1,KC542151.1,,,,,,,
Bunias,FM958516.1,GQ424576.1,,DQ288744.1,KM360682.1,FN677645.1,,,
Bunium,KR150151.1,,,,KP974250.1,KR150239.1,,,
Buphthalmum,EF210964.1,,,LN607788.1,HG416972.1,EF211059.1,,,
Bupleurum,KT984193.1,JQ794945.1,,,KP974251.1,KF573966.1,,KX401378.1,
Burasaia,,KC494025.1,,EF624272.1,FJ026464.1,JN051747.1,,FJ026404.1,
Burbidgea,AF414494.1,AF478828.1,HQ437981.1,,,AY769784.1,,,
Burchardia,KC899567.1,JN417399.1,KC899513.1,EU044625.1,Z77266.1,KJ200335.1,,KC796807.1,
Burchellia,,KJ136870.1,,HM164358.1,Z68833.1,AF201035.1,,,
Burckella,KF686191.1,,,AY603773.1,Z83135.1,,,,
Burdachia,,AF344534.1,,AF351071.1,AF344462.1,,,,
Burkartia,FJ979678.1,,,,,,,,
Burkea,,EU361895.1,,,JQ025025.1,AF430764.1,,,
Burkillanthus,,EF138844.1,,,EF126505.1,EF126638.1,,EF118833.1,
Burkilliodendron,,,,,,,,,
Burmannia,EU816754.1,AY956485.1,,,AF206742.1,EU186247.1,DQ786072.1,AF209548.1,
Burmeistera,,,,,EF174663.1,DQ356213.1,,,
Burnatia,,JN547814.1,,,JN547809.1,,,,
Burnettia,AF347985.1,,,,,,,,
Burretiodendron,AY629202.1,,,,AJ233148.1,AY328162.1,,AJ233101.1,
Burretiokentia,,FR832736.1,,AF453469.1,AY012500.1,,AY012386.1,AY012443.1,
Bursaria,AY829024.1,,,,KF496715.1,AY829057.1,,,
Bursera,JF919016.1,AY594462.1,GU351166.1,EU002206.1,GU246028.1,FJ466463.1,AF206877.1,GU246057.1,
Burtonia,,,,,,,,,
Burttdavya,AJ346863.1,JX517314.1,,GQ852179.1,AJ346973.1,,,,
Burttia,,,,,,,,,
Bussea,,EU361896.2,,,AY904396.1,AY899708.1,,,
Butea,KJ436382.1,JN008175.1,,,AB045789.1,,,,
Butia,,EU004870.1,,AY044565.1,AY044632.1,EU004864.1,,AY044469.1,
Butomopsis,HQ456395.1,HQ456459.1,,,KC355437.1,,,,
Butomus,JF780965.1,AY952416.1,,AF546997.1,KM360683.1,DQ786413.1,KM103394.1,AY147593.1,
Buttonia,,,,,,,,,
Butumia,,,,,,,,,
Butyagrus,,,,,,,,,
Buxbaumia,AF033635.1,LN828303.1,,GU295932.1,GQ368610.1,AF231909.1,Y17603.1,DQ646056.1,
Buxus,KF447777.1,HG004439.1,AF197786.1,AF241597.1,DQ182333.1,FJ490779.1,L54065.1,AF092110.1,
Byblis,,,,,,,AY826964.1,,
Byrsanthus,,,,,,,,,
Byrsonima,KJ123874.1,JX661932.1,EF135293.1,EU002207.1,JQ625809.2,,AB233586.1,JX663793.1,
Byrsophyllum,,,,,,,,,
Byrsopteris,,,,,,,,,
Bystropogon,JQ669078.1,GU381728.1,,,KJ595612.1,AY704601.1,,,
Bythophyton,,,,,,,,,
Byttneria,KP092992.1,HM488446.1,,AF287943.1,AB269890.1,HM488392.1,,AJ233073.1,
Caatinganthus,,,,,,,,,
Cabobanthus,EF155749.1,,,EF155661.1,,EF155837.1,,,
Cabomba,JF805749.1,DQ185527.1,AF197729.1,AF123801.1,JX100675.1,KC525070.1,AF206878.1,AF187058.1,
Cabralea,DQ861617.1,KF555384.1,,,DQ238055.1,,,,
Cabreriella,GU818496.1,GU817432.1,,GU817810.1,,GU817978.1,,,
Cacalia,KJ561175.1,,,,,,,,
Cacaliopsis,GU818497.1,GU817433.1,,GU817837.1,,GU817979.1,,,
Caccinia,KP027092.1,KF287786.1,,KF287870.1,,KC542570.1,,,
Cachrys,EU169249.1,,,,,,,,
Cacosmia,JN837120.1,JN837409.1,,JN837300.1,,JN837210.1,,,
Cactus,,,,,,,,,
Cadaba,,EU371752.1,,AY122362.1,KU739576.1,KR738450.1,,,
Cadellia,,KM894648.1,,,L29491.1,AM234341.1,,,
Cadia,KF850559.1,JX295932.1,,,U74192.1,,,,
Cadiscus,,,,,,,,,
Caduciella,FM161083.1,,,,,,,,
Caelospermum,FJ907042.1,KM894848.1,,KJ805055.1,AJ288598.1,,,,
Caenopteris,,,,,,,,,
Caesalpinia,JX856421.1,LC080892.1,,,U74190.1,AF430742.1,,,
Caesia,,JQ435536.1,,JX903442.1,Z77297.1,,,AJ417580.1,
Caesulia,EU195642.1,,,AY780818.1,JQ933249.1,EU195603.1,,,
Cailliea,,,,,,,,,
Caiophora,,AY254056.1,,AJ236259.1,U17872.1,AY254235.1,,AJ236228.1,
Cajanus,KR863389.1,EU717414.1,,,EU717273.1,EF200131.1,,EU717515.1,
Cakile,KX166030.1,JN584959.1,KU739644.1,DQ288745.1,KM360685.1,DQ320761.1,,,
Calacanthus,,,,,,,,,
Caladenia,GQ866526.1,GQ866555.1,,,AF074116.1,GQ866809.1,,,
Caladium,,EU886501.1,,,AM905788.1,AY054708.1,,,
Calais,,,,,,,,,
Calamagrostis,KF713211.1,KF713115.1,,DQ786824.1,KM360686.1,FJ394569.1,,DQ780970.1,
Calamaria,,,,,,,,,
Calamistrum,,,,,,,,,
Calammophila,,,,,,,,,
Calamophyllum,,,,,,,,,
Calamovilfa,,,,,,,,,
Calamus,,,,,,,,,
Calandrinia,AY764087.1,HQ620860.1,,AF194835.1,,,,,
Calanthe,KP159328.1,KF673825.1,,JX903490.1,KF852748.1,KF650535.1,HM640776.1,JX903907.1,
Calanthea,,EU371775.1,KU739656.1,EU373697.1,KU739578.1,,,,
Calantica,,,,AY757112.1,,AY757005.1,,,
Calanticaria,HQ688793.1,,,,,,,,
Calassodia,,,,,,,,,
Calathea,JQ341303.1,JQ341355.1,,AY656083.1,AY656112.1,AY140359.1,,,
Calathodes,HQ440198.1,HQ440175.1,,KU662896.1,KU662945.1,HQ440186.1,,KU662825.1,
Calatholejeunea,,,,,,,,,
Calathostelma,,,,,,,,,
Calatola,,JQ588042.1,,KT738618.1,KT740814.1,,,KT737921.1,
Calaunia,,,,,,,,,
Calcareoboea,,,,,,,,,
Calceolaria,HQ586825.1,AY667457.1,GU351168.1,AF123679.1,HQ384899.1,HQ586815.1,GQ497569.1,HQ384746.1,
Calcicola,,HQ247243.1,,KM197355.1,KM197475.1,,,,
Calciphilopteris,,KP031672.1,,,EF452150.1,DQ432686.1,,EF452031.1,
Calcitrapa,,,,,,,,,
Caldcluvia,DQ499068.1,,,,AF291922.1,AF299216.1,GU476408.1,,
Calderonella,AM404333.1,HE575875.1,,HE575792.1,HE575841.1,AM404243.1,,,
Caldesia,JF780984.1,AY952427.1,,,HQ456502.1,,AY952405.1,,
Calea,,AY215769.1,,AF384697.3,AY215089.1,AY216148.1,,KT344992.1,
Caleana,AF321585.1,AJ310001.1,,,,AJ409379.1,,,
Calectasia,,KP083041.1,,AY007648.1,AJ286557.1,,AF069209.1,AF168891.1,
Calendula,KM356152.1,KM356096.1,,L39439.1,KM356120.1,KM356192.1,,,
Calepina,AM905715.1,,,,HE616642.1,AY751760.1,,,
Calibanus,,,,,,,,,
Calibrachoa,DQ208030.1,KP756857.1,,KP756738.1,,JN565781.1,,AM233356.1,
Calicharis,,,,,,,,,
Calicorema,,AY514807.1,,,AY270070.1,,,,
Calicotome,AF351089.1,,,,Z70089.1,AF352185.1,,,
California,EF185338.1,KJ916367.1,KP962851.1,,KJ916488.1,DQ072015.1,,KJ916271.1,
Calimeris,,,,,,,,,
Caliphruria,AF223529.1,,,,AF116947.1,AF104731.1,,,
Calispepla,,,,,,,,,
Calla,,HQ687765.1,,DQ400889.1,AM905819.1,AY555174.1,AF168829.1,,
Callaeum,,AF344536.1,,AF351058.1,AF344463.1,,,,
Callerya,KP092733.1,AF142733.1,,,AY308806.1,,,,
Callialaria,JQ281669.1,,,,AB095270.1,AY009817.1,,JX241545.1,
Calliandra,JX870742.1,AY386844.1,,EU811901.1,KR082842.1,JX870854.1,,,
Calliandropsis,AF458819.1,AF521816.1,,,,AF278520.1,,,
Callianthemoides,AY680199.1,AY954236.1,,,,,,,
Callianthemum,AY365390.1,KU213030.1,,KU196928.1,FJ626580.1,FJ626539.1,,KU662826.1,
Callibryon,,,,,,,,,
Callicarpa,KP092820.1,LC120830.1,,AF130148.1,KJ773329.1,FJ593410.1,,HQ384701.1,
Callicephalus,AY826237.1,AY013492.1,,JF754833.1,KC589802.1,AY772281.1,,,
Callichilia,,GU973897.1,,,DQ660634.1,AF214169.1,,,
Callichlamys,,JQ586991.1,,DQ222567.1,KJ594137.1,,,,
Callicladium,AY695785.1,,,,AB332268.1,AY762372.1,,,
Callicoma,,KM894952.1,,,AF291928.1,AF299223.1,,,
Callicosta,,,,,,,,,
Callicostella,HQ443715.1,,,,,HQ443855.1,,,
Callicostellopsis,HQ443718.1,,,,,,,,
Calliergidium,,,,,,,,,
Calliergon,AY857611.1,,,,AY857590.1,AY626005.1,,AF322342.1,
Calliergonella,AF168145.1,,,,AB332264.1,GQ428068.1,X94257.1,AF322315.1,
Calligonum,KC585448.1,KP769269.1,,EU840410.1,KP768824.1,KC585501.1,,,
Callilepis,,,,,,,,,
Callipeltis,,,,,,GU357142.1,,,
Callipteris,,,,,,,,,
Callirhoe,AJ304936.1,KT456898.1,KT458965.1,JF799578.1,,,KT459179.1,,
Callisia,,GU135072.1,,AY624109.1,AF312248.1,KC512038.1,,,
Callista,JN996726.1,,,,,,JN996709.1,,
Callistachys,AF287687.1,AF298433.1,,,,AY015072.1,X66687.1,,
Callistemon,KM064995.1,KM065092.1,,AY498773.1,AM235652.1,,,,
Callistephus,JN315931.1,,,AB530920.1,AB530954.1,JN315907.1,,,
Callisthene,,AH013846.2,,AY498826.1,,,,,
Callitriche,AY492097.1,JN894013.1,,L47329.1,KM360687.1,AY492172.1,AF107582.1,AJ236164.1,
Callitris,HM116954.1,AY988331.1,,,L12537.2,AY988416.1,EU161290.1,,
Callitropsis,AY988377.1,HM024074.1,,,AY988245.1,AY988194.1,EU273293.1,,
Callopsis,,AM920595.1,,,AM905773.1,AM933325.1,,,
Callostylis,,,,,,,,,
Calluna,KP737514.1,U61326.1,,GU176722.1,L12601.2,KP737378.1,AF419797.1,,
Calobryum,,,,,,,,,
Calocedrus,AY380855.1,HM023982.1,,,AB715255.1,KR920097.1,D85298.1,AB715250.1,
Calocephalus,JX564704.1,AF318907.1,,,,JX564650.1,,,
Calochilus,AY029042.1,AJ310002.1,,,AF074118.1,AJ409380.1,AY029056.1,,
Calochlaena,,,,,AM410496.1,AM410354.1,AY612718.1,AM176588.1,
Calochone,,KJ136872.1,,KF965025.1,Z68845.1,KJ136951.1,,,
Calochortus,,KP083037.1,,KM085818.1,KM085567.1,AY430700.1,KM103395.1,KM085948.1,
Calocrater,,GU973898.1,,,,,,,
Calodecaryia,DQ861631.1,,,,AY128216.1,,,,
Calodendrum,,EF489102.1,,,AF066805.1,EF489250.1,,AF066834.1,
Calohypnum,,,,,,,,,
Calomeria,JQ956564.1,JX564823.1,,,,AF141825.1,,,
Calomnion,,,,,AY631178.1,AY857811.1,,,
Caloncoba,,JX661933.1,,JX662742.1,JX664037.1,,,JX663794.1,
Calonema,,,,,,,,,
Calopappus,FJ979685.1,KM192112.1,,KM192101.1,KM192090.1,KM191902.1,,KM191990.1,
Calophaca,KP338106.1,JQ669603.1,,,KP862568.1,KP338228.1,,,
Calophyllum,KP092913.1,AB698448.1,AY674484.1,HQ331857.1,KR528884.1,KF953917.1,AY674580.1,,
Calophysa,,,,,,,,,
Calopogon,AF273395.1,AF263635.1,,,AF074119.1,AF519913.1,,,
Calopogonium,AY293844.1,JQ669608.1,,,AF308723.1,EU717318.1,AF525696.1,,
Calopteryx,FN356048.1,,,,,,AY338716.1,,
Calorophus,,GQ409036.1,,,AF148765.1,AF148725.1,,,
Calostemma,JX464285.1,JX464562.1,,JX903335.1,AF116948.1,JX464367.1,,JX903752.1,
Calostephane,,,,LN607611.1,,,,,
Calostigma,,,,,,,,,
Calotesta,JF893870.1,,,,,JF893838.1,,,
Calothamnus,EF041511.1,AF184704.2,,AY498774.1,AF184667.2,,,,
Calotis,JX564705.1,JX564824.1,,,,JX564651.1,,,
Calotropis,KR149556.1,KT344854.1,KP100450.1,,AJ419736.1,AJ428797.1,JX444502.1,,
Calpocalyx,,AY944551.1,,,AM234257.1,AF278482.1,,,
Calpurnia,AM261438.1,AY386951.1,,,AM177373.1,,GU476474.1,,
Caltha,GU444013.1,KU213031.1,,KU196930.1,KU662946.1,FJ626540.1,,EU053876.1,
Caluera,,,,,,,,,
Calvoa,,,,AF215589.1,AF215544.2,,,,
Calycacanthus,EU087481.1,,,,,,,,
Calycadenia,U04264.1,,,,,,,,
Calycanthus,AY786083.1,AJ627917.1,DQ490935.1,AF123802.1,AF022951.2,DQ490946.1,DQ490923.1,AJ235422.1,
Calycera,EU841176.1,EU841360.1,,KM192102.1,KM192091.1,KM191903.1,,KM191991.1,
Calycobolus,,,,,AY101026.1,AY101141.1,,AY100821.1,
Calycocarpum,,KC494026.1,,EF624273.1,FJ026465.1,JN051748.1,,FJ026405.1,
Calycogonium,KF821407.1,,,EU055901.1,HM446766.1,,,,
Calycolpus,KU945986.1,KU945991.1,,,JQ730669.1,,,,
Calycomorphum,,,,,,,,,
Calycopeplus,AF537580.1,,,JN249080.1,JN249245.1,AY794608.1,,,
Calycophyllum,FJ984968.1,JQ588916.1,,AJ236285.1,X83627.1,AF152646.1,,,
Calycophysum,JX505457.1,,,,DQ535743.1,DQ536792.1,,,
Calycorectes,,,,,,,,,
Calycoseris,AY218975.1,,,,,,,,
Calycosia,KF675908.1,,,KJ804995.1,KJ805589.1,,,,
Calycosiphonia,,KC627799.1,,KF965026.1,AM117211.1,DQ180565.1,,,
Calycularia,,,,,AY507395.1,AY507524.1,AY688706.1,AY507350.1,
Calyculogygas,AY591820.1,,,,,,,,
Calydorea,JQ230331.1,JQ670444.1,,,JQ670522.1,AJ409596.1,,,
Calylophus,,,,,,,,,
Calymmanthera,,,,,,,,,
Calymmanthium,HQ727804.1,AY015291.1,,,AY875230.1,DQ099926.1,,,
Calymmatium,FM958512.1,,,,,,,,
Calymmodon,,,,,AY460618.1,KM106049.1,,AY459452.1,
Calymperastrum,,,,,,,,,
Calymperes,AF144124.1,,,,AF226793.1,DQ238530.1,Y16012.1,GQ497609.1,
Calymperidium,,,,,,,,,
Calymperopsis,,,,,,,,,
Calypogeia,JX629936.1,,,,KC297120.1,JF421610.1,X78439.1,DQ646027.1,
Calypso,AF521076.1,EF525689.1,,,AF074120.1,AF519961.1,,,
Calyptocarpus,AY303405.1,AY215770.1,,AF384698.3,AY215090.1,AY216149.1,,,
Calyptochloa,,HE574039.1,,JN604677.1,HE573360.1,,,,
Calyptopogon,,,,,,,,,
Calyptostylis,,,,,,,,,
Calyptothecium,FM161086.1,,,,,,,,
Calyptraemalva,,,,,,,,,
Calyptranthera,,,,,,,,,
Calyptranthes,JN091200.1,AF368201.2,,AY498775.1,JQ626314.1,JN091325.1,,,
Calyptrocalyx,KJ598249.1,AM114687.1,,HG969749.1,AY012501.1,HG969946.1,AY012387.1,AY012444.1,
Calyptrocarya,KF553442.1,JQ587344.1,,GU075476.1,EF178540.1,,,,
Calyptrochaeta,JQ943421.1,,,,,JQ943536.1,,,
Calyptrochilum,DQ091668.1,DQ091325.1,,,,DQ091449.1,,,
Calyptrocolea,,,,,,,,,
Calyptrogenia,,,,,,,,,
Calyptrogyne,,AM114652.1,,,AJ829856.1,AM113655.1,,,
Calyptronoma,,AM114653.1,,AY044538.1,AY012511.1,AJ241313.1,AY012397.1,AY044459.1,
Calyptrosciadium,AY941294.1,,,,,,,,
Calyptrotheca,,AY042563.1,GU351169.1,AF194839.1,,,,,
Calystegia,AH013853.2,KC529162.1,,,KC529316.1,AY101101.1,,AY100783.1,
Calytrix,KM064975.1,AF489396.1,,AY498776.1,AF489340.1,,,,
Camarea,,HQ247250.1,,AY499081.1,HQ247471.1,,,,
Camaridium,KP323357.1,DQ210974.1,,,DQ209696.1,EU099757.1,,,
Camarotea,EU528881.1,,,,,EU528916.1,,,
Camassia,KP008315.1,JQ276385.1,,KP008242.1,JQ273890.1,KP008178.1,,JQ273595.1,
Cambessedesia,JQ730062.1,,,AY553782.1,AY553778.1,,,,
Camchaya,HQ158388.1,,,HQ158487.1,,HQ158440.1,,,
Camelina,KJ623504.1,DQ406760.1,,DQ288747.1,,DQ821412.1,,,
Camelinopsis,HG426450.1,,,DQ288817.1,,,,,
Camellia,KJ560925.1,KR140094.1,AF520203.1,,KJ721197.1,HQ158583.1,KF933426.1,,
Cameraria,,,,,,,GU816787.1,,
Camissonia,JX885874.1,,,,,AY264538.1,,,
Camissoniopsis,AY271548.1,,,,,AY264536.1,,,
Camoensia,,JX295946.1,,,,,,,
Camonea,,,,,,,,,
Campanocolea,,,,,,,,,
Campanula,KX167959.1,KT753030.1,GU351170.1,KT176863.1,KT753256.1,KU375244.1,KT179691.1,,
Campanulorchis,,,,,,,,,
Campbellia,,,,,,,,,
Campeiostachys,,,,,,,,,
Campestigma,,,,,,,,,
Camphora,,,,,,,,,
Camphorosma,AY489201.1,AY514829.1,,DQ097398.1,AY270071.1,DQ499381.1,,,
Campnosperma,,KJ708854.1,,,KJ594639.1,KP055495.1,,,
Campomanesia,AM234076.1,AY521532.2,,AY498777.1,KF561906.1,,,,
Campovassouria,KP901191.1,,,KP454912.1,,KP901241.1,,,
Campsiandra,,EU361908.1,,,,AF430765.1,,,
Campsidium,,,,EF104999.1,,EF105056.1,,,
Campsis,AB762288.1,AF531775.1,,AF130144.1,AF156737.1,FJ870022.1,AF107578.1,AJ236168.1,
Camptacra,JX564706.1,,,,,JX564652.1,,,
Camptandra,AF478730.1,AF478830.1,,,,AY424780.1,,,
Campteria,,,,,,,,,
Camptocarpus,AJ581677.1,,,,,DQ221172.1,,,
Camptochaete,FM161087.1,,,,,AF187267.1,,,
Camptodontium,,,,,,,,,
Camptolepis,,,,,,,,,
Camptoloma,AJ550581.1,,,AJ401401.1,,,,,
Camptorrhiza,,JQ404870.1,,JQ404641.1,KC796864.1,AJ551350.1,,KC796808.1,
Camptosema,KC779669.1,KC779559.1,,,,KJ402388.1,,,
Camptosorus,,,,,,,,,
Camptostemon,HQ658360.1,AY321162.1,,AF111727.1,AF022120.1,HQ696726.1,,,
Camptostylus,,AB233736.1,,,AJ418797.1,,AB233528.1,AB233632.1,
Camptotheca,KP092581.1,U96888.1,,JF321071.1,L11211.2,EU734490.1,U42789.1,JF298834.1,
Camptothecium,EF617562.1,,,,EF530977.1,EF193345.1,,,
Camptouratea,,,,,,,,,
Campuloclinium,KP901157.1,,,KP454915.1,,KP901214.1,,,
Campylanthera,,,,,,,,,
Campylanthus,AY492099.1,AY492132.1,,AJ619556.1,FM207446.1,AY492173.1,,,
Campyliadelphus,AF168150.1,,,,AB332275.1,,,AF322355.1,
Campylidium,,,,,,,,,
Campylium,AY663366.1,,,,FJ535759.1,FJ535740.1,,AF322354.1,
Campylocentrum,EF079446.1,AF506352.1,,,,AY147226.1,JX912777.1,,
Campylodontium,,,,,,,,,
Campylolejeunea,,,,,,,,,
Campyloneurum,,,,,EF551063.1,EF104515.1,,EF463491.1,
Campylopetalum,,,,,,KP055496.1,,,
Campylophyllum,AY857613.1,,,,AB332270.1,AY683609.1,,AF322311.1,
Campylopodiella,AF140698.1,,,,JQ690718.1,,,,
Campylopodium,AF140701.2,,,,JQ690707.1,,,,
Campylopus,GU446699.1,,,,AY159932.1,AF231172.1,,,
Campylosiphon,EU816710.1,KU127383.1,,,,,EU420996.1,,
Campylospermum,KF263203.1,AB924686.1,,KF263310.1,KF263394.1,KP196902.1,AB233595.1,AB233699.1,
Campylostachys,AJ616316.1,HQ384527.1,,HQ384833.1,HQ384891.1,,,,
Campylostelium,,,,,AB125584.1,,,,
Campylostemon,HM230117.1,HM230163.1,,,,HM230254.1,,,
Campylotropis,JN402492.1,EU717418.1,,,U74228.1,JN402862.1,,EU717519.1,
Campynema,,KM822147.1,,KM822153.1,KM822176.1,,GQ497570.1,KM822139.1,
Campynemanthe,KP420436.1,KM822133.1,,,AJ276349.1,,,,
Canacomyrica,DQ310500.1,,,,DQ310504.1,DQ310508.1,,,
Canadanthus,JQ360389.1,,,,,GU480725.1,,,
Canalohypopterygium,EF680785.1,,,,,,AJ243347.1,,
Cananga,,AY220438.1,AF197763.1,AY841403.1,AY841602.1,AY841680.1,AF469770.1,DQ007418.1,
Canarina,KP761446.1,EU713246.1,,DQ356087.1,DQ356115.1,KP761609.1,,EU437581.1,
Canarium,,,,,,,,,
Canastra,,HE574035.1,,AY029621.1,AM849348.1,,,,
Canavalia,KT751448.1,KT751515.1,,,U74238.1,EU717354.1,,,
Canbya,AF098921.1,,,,,,,,
Cancrinia,AY127677.1,,,AF153668.1,,,,,
Cancriniella,,,,,,,,,
Candolleodendron,EF560802.1,JX295890.1,,,EF466154.1,EF527485.1,,,
Canella,L03844.1,KF408223.1,AF197757.1,AY218191.1,AJ131928.1,EU669545.1,AF206879.1,AF528847.1,
Canephora,,,,,,,,,
Canistrum,,AY950025.1,,L75861.1,JF280752.1,FJ942954.1,,,
Canna,FJ939497.1,AM114724.1,EU281101.1,FJ861155.1,L05445.1,AM113702.1,,AF168892.1,
Cannabis,KC292629.1,KT456899.1,KT458966.1,AY289250.1,JN040401.1,AF501598.1,KT459180.1,JF317400.1,
Cannaboides,,,,,,,,,
Cannomois,,KF452511.1,,,KF687099.1,KF423122.1,,,
Canotia,DQ217502.1,JF410095.1,,,AJ402934.1,AY935755.1,AY929342.1,AY935827.1,
Canscora,AJ489867.1,AJ388143.1,KC535810.1,,JQ933252.1,AY251779.1,KC535917.1,,
Cansjera,,DQ790167.1,,,DQ790128.1,,L24084.1,,
Cantharospermum,,,,,,,,,
Canthium,KP092781.1,AB925271.1,,AM949849.1,KT218707.1,HG426459.1,,,
Cantleya,,,,,,,,,
Cantua,KJ159366.1,L34180.2,AY725889.1,AY725876.1,AY725864.1,EU348377.1,L49276.1,AY725927.1,
Cantuffa,,,,,,,,,
Caobangia,,,,,,,,,
Capanemia,AF350549.1,AF350628.1,,,FJ534139.1,AF350707.1,,,
Capelio,GU818508.1,KP110008.1,,GU817839.1,GU817743.1,GU817982.1,,,
Capeobolus,KF553443.1,,,FM160518.1,DQ058343.1,DQ058303.1,,,
Capeochloa,AF019867.1,EU400738.1,,EU400794.1,DQ887116.1,EU401205.1,,,
Caperonia,GU000030.1,LK021394.1,,,AY794923.1,AY794745.1,,,
Capillipedium,HQ600505.1,HE574008.1,,AF117396.1,AM849398.1,GQ869994.1,,,
Capillolejeunea,,,,,,,,,
Capirona,FJ984969.1,FJ905343.1,,AJ236286.1,Y18710.1,AF152644.1,,,
Capitanopsis,,,,,,AJ505440.1,,,
Capitularina,,,,,EF178588.1,AY344168.1,,,
Capnoides,,LN610917.1,,,KM212113.1,HE603351.1,,,
Capnophyllum,FM201529.1,,,,AM234814.1,,,,
Capparicordis,,EU371757.1,KU739657.1,EU373681.1,KU739579.1,,,,
Capparidastrum,,EU371765.1,KU739659.1,KU739554.1,KU739581.1,,,,
Capparis,KP092569.1,KU739546.1,KU739660.1,KU739555.1,KU739590.1,KU940217.1,EU090942.1,AF035900.1,
Capraria,JX985355.1,,,AJ617610.1,,JX985294.1,,,
Capsella,,,,,,,AY070118.1,,
Capsicum,KP006659.1,KP747433.1,,U08916.1,KT779528.1,EU580970.1,,,
Capurodendron,AM408107.1,,,AY230668.1,,,,,
Capuronia,AY905420.1,GU228433.1,,,AY905405.1,AY905454.1,,,
Capuronianthus,FJ518868.1,,,,AJ402935.1,,,,
Caragana,KP338124.1,AF142737.1,,AB052035.1,KP088507.1,KP338245.1,,,
Caraipa,AY625625.1,HQ331565.1,HQ331721.1,HQ331867.1,AF518384.1,,,,
Carallia,KP092977.1,AF126370.1,AF520189.1,AY425038.1,AF127677.1,KU853253.1,FJ707525.1,AJ235425.2,
Caralluma,KF677313.1,,,,EU196258.1,KF677928.1,,,
Carapa,FJ518891.1,AY128181.1,,,AY128219.1,EU853781.1,,,
Carapichea,AF072020.1,,,,AJ002184.1,,,,
Cardamine,AH007966.2,KJ592878.1,,DQ288749.1,KM360692.1,JN102160.1,,,
Cardenasiodendron,AY594377.1,,,,GU935419.1,AY594503.1,,GU943756.1,
Cardiandra,AB377212.1,GU217270.1,,JF321080.1,AF323191.1,JF321204.1,,JF298846.1,
Cardiochilos,,,,,,,,,
Cardiochlamys,,,,,AY101052.1,AY101161.1,,AY100840.1,
Cardiocrinum,KP712014.1,AY624469.1,,KM085716.1,AF275989.1,GU445343.1,,KM085837.1,
Cardiolejeunea,,,,,,,,,
